fecha,cantidad
2015-09-09,594
2015-09-10,649
2015-09-11,1052
2015-09-12,759
2015-09-13,572
2015-09-14,809
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,9
2015-09-22,342
2015-09-23,1180
2015-09-24,1121
2015-09-25,691
2015-09-26,373
2015-09-27,391
2015-09-28,807
2015-09-29,944
2015-09-30,1044
2015-10-01,1298
2015-10-02,1003
2015-10-03,631
2015-10-04,746
2015-10-05,1687
2015-10-06,1669
2015-10-07,4018
2015-10-08,3752
2015-10-09,1645
2015-10-10,1193
2015-10-11,1340
2015-10-12,2474
2015-10-13,1969
2015-10-14,1716
2015-10-15,1886
2015-10-16,1664
2015-10-17,12
2015-10-18,707
2015-10-19,1836
2015-10-20,1578
2015-10-21,1481
2015-10-22,1635
2015-10-23,1875
2015-10-24,999
2015-10-25,801
2015-10-26,1326
2015-10-27,1542
2015-10-28,1743
2015-10-29,1851
2015-10-30,1560
2015-10-31,865
2015-11-01,692
2015-11-02,1427
2015-11-03,1493
2015-11-04,1644
2015-11-05,1417
2015-11-06,1378
2015-11-07,1124
2015-11-08,789
2015-11-09,1776
2015-11-10,2061
2015-11-11,2012
2015-11-12,1925
2015-11-13,1336
2015-11-14,939
2015-11-15,909
2015-11-16,1811
2015-11-17,2182
2015-11-18,1998
2015-11-19,644
2015-11-20,44
2015-11-21,2
2015-11-22,0
2015-11-23,41
2015-11-24,1110
2015-11-25,1341
2015-11-26,1337
2015-11-27,725
2015-11-28,572
2015-11-29,631
2015-11-30,1334
2015-12-01,1320
2015-12-02,1221
2015-12-03,1318
2015-12-04,1214
2015-12-05,627
2015-12-06,739
2015-12-07,1325
2015-12-08,1364
2015-12-09,1382
2015-12-10,1488
2015-12-11,1496
2015-12-12,1270
2015-12-13,995
2015-12-14,1386
2015-12-15,1529
2015-12-16,1755
2015-12-17,1482
2015-12-18,1249
2015-12-19,1172
2015-12-20,1185
2015-12-21,1384
2015-12-22,1713
2015-12-23,1287
2015-12-24,1318
2015-12-25,724
2015-12-26,1020
2015-12-27,1693
2015-12-28,2018
2015-12-29,1919
2015-12-30,2457
2015-12-31,1478
2016-01-01,1377
2016-01-02,1412
2016-01-03,1594
2016-01-04,2005
2016-01-05,2298
2016-01-06,2454
2016-01-07,2398
2016-01-08,2190
2016-01-09,1682
2016-01-10,1721
2016-01-11,1758
2016-01-12,1555
2016-01-13,2094
2016-01-14,2635
2016-01-15,2188
2016-01-16,1744
2016-01-17,2121
2016-01-18,1702
2016-01-19,1604
2016-01-20,2114
2016-01-21,2062
2016-01-22,2449
2016-01-23,1372
2016-01-24,1384
2016-01-25,1999
2016-01-26,1795
2016-01-27,1765
2016-01-28,1900
2016-01-29,1903
2016-01-30,1517
2016-01-31,1579
2016-02-01,2149
2016-02-02,2082
2016-02-03,1691
2016-02-04,951
2016-02-05,1255
2016-02-06,1502
2016-02-07,1617
2016-02-08,1486
2016-02-09,1759
2016-02-10,1627
2016-02-11,1608
2016-02-12,1440
2016-02-13,1151
2016-02-14,1009
2016-02-15,1399
2016-02-16,1469
2016-02-17,1975
2016-02-18,2036
2016-02-19,1918
2016-02-20,1493
2016-02-21,1161
2016-02-22,1670
2016-02-23,770
2016-02-24,0
2016-02-25,0
2016-02-26,0
