fecha,cantidad
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,5
2015-09-12,4
2015-09-13,3
2015-09-14,3
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,1
2015-09-23,3
2015-09-24,3
2015-09-25,4
2015-09-26,1
2015-09-27,0
2015-09-28,0
2015-09-29,2
2015-09-30,2
2015-10-01,29
2015-10-02,11
2015-10-03,6
2015-10-04,15
2015-10-05,22
2015-10-06,15
2015-10-07,37
2015-10-08,71
2015-10-09,22
2015-10-10,61
2015-10-11,29
2015-10-12,24
2015-10-13,24
2015-10-14,63
2015-10-15,32
2015-10-16,28
2015-10-17,0
2015-10-18,7
2015-10-19,14
2015-10-20,96
2015-10-21,27
2015-10-22,79
2015-10-23,8
2015-10-24,14
2015-10-25,15
2015-10-26,27
2015-10-27,37
2015-10-28,45
2015-10-29,29
2015-10-30,46
2015-10-31,67
2015-11-01,60
2015-11-02,81
2015-11-03,64
2015-11-04,22
2015-11-05,56
2015-11-06,20
2015-11-07,30
2015-11-08,14
2015-11-09,90
2015-11-10,47
2015-11-11,51
2015-11-12,6
2015-11-13,46
2015-11-14,86
2015-11-15,40
2015-11-16,40
2015-11-17,42
2015-11-18,66
2015-11-19,7
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,68
2015-11-25,16
2015-11-26,8
2015-11-27,5
2015-11-28,5
2015-11-29,9
2015-11-30,12
2015-12-01,4
2015-12-02,10
2015-12-03,18
2015-12-04,14
2015-12-05,3
2015-12-06,10
2015-12-07,10
2015-12-08,8
2015-12-09,13
2015-12-10,12
2015-12-11,3
2015-12-12,24
2015-12-13,17
2015-12-14,13
2015-12-15,36
2015-12-16,20
2015-12-17,26
2015-12-18,15
2015-12-19,13
2015-12-20,2
2015-12-21,10
2015-12-22,5
2015-12-23,9
2015-12-24,6
2015-12-25,1
2015-12-26,1
2015-12-27,5
2015-12-28,13
2015-12-29,12
2015-12-30,11
2015-12-31,41
2016-01-01,9
2016-01-02,19
2016-01-03,5
2016-01-04,25
2016-01-05,19
2016-01-06,14
2016-01-07,6
2016-01-08,10
2016-01-09,19
2016-01-10,15
2016-01-11,13
2016-01-12,31
2016-01-13,17
2016-01-14,33
2016-01-15,25
2016-01-16,31
2016-01-17,21
2016-01-18,41
2016-01-19,17
2016-01-20,23
2016-01-21,7
2016-01-22,44
2016-01-23,28
2016-01-24,11
2016-01-25,57
2016-01-26,73
2016-01-27,30
2016-01-28,30
2016-01-29,56
2016-01-30,34
2016-01-31,8
2016-02-01,9
2016-02-02,36
2016-02-03,34
2016-02-04,37
2016-02-05,17
2016-02-06,12
2016-02-07,22
2016-02-08,21
2016-02-09,26
2016-02-10,34
2016-02-11,29
2016-02-12,29
2016-02-13,39
2016-02-14,5
2016-02-15,8
2016-02-16,18
2016-02-17,9
2016-02-18,17
2016-02-19,8
2016-02-20,21
2016-02-21,12
2016-02-22,11
2016-02-23,2
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
